state,county,city,site,pollutant,date,daily_avg,units_of_measure
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-01-01,0.391957,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-01-02,0.400957,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-01-03,0.341391,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-01-04,0.744391,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-01-05,0.464826,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-01-06,0.464304,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-01-07,0.224652,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-01-08,0.242955,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-01-09,0.293087,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-01-10,0.337739,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-01-11,0.558522,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-01-12,0.489304,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-01-13,0.391739,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-01-14,0.559739,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-01-15,0.290565,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-01-16,0.400087,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-01-17,0.264609,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-01-18,0.71287,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-01-19,0.306652,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-01-20,0.244261,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-01-21,0.408043,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-01-22,0.336696,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-01-23,1.124087,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-01-24,0.424773,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-01-25,0.328826,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-01-26,0.370174,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-01-27,0.409391,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-01-28,0.22113,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-01-29,0.318565,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-01-30,0.240391,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-01-31,0.320826,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-02-01,0.442087,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-02-02,1.148348,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-02-03,0.854348,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-02-04,0.840391,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-02-05,0.482478,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-02-06,0.390174,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-02-07,0.83987,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-02-08,0.276409,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-02-09,0.479609,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-02-10,0.468739,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-02-11,0.667391,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-02-12,0.210957,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-02-13,0.286522,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-02-14,0.385917,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-02-15,0.308913,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-02-16,0.556261,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-02-17,0.297217,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-02-18,0.388826,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-02-19,0.445174,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-02-20,0.21687,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-02-21,0.452913,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-02-22,0.512727,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-02-23,0.208304,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-02-24,0.257826,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-02-25,0.309957,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-02-26,0.507739,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-02-27,0.399,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-02-28,0.473783,Parts per million
